N,dim,pattern,selectivity,qualified,qualified_actual,inline_p50_ms,prefilter_p50_ms,inline_p90_ms,prefilter_p90_ms,latency_gain,recall,inline_qps,prefilter_qps,qps_gain,inline_cpu_pct,prefilter_cpu_pct,inline_main_cpu_pct,prefilter_main_cpu_pct,bottleneck,k,data
5000,768,text OR text,0.02,100,100,0.5468809977173805,0.11876900680363178,0.676276977173984,0.12642494402825832,4.604576668908018,1.0,6252.4256144916235,13072.721755078594,2.0908240355197765,423.641024656922,119.65314650209417,20.83480449132404,41.853981286740755,reader-bound,10,clustered
5000,768,text OR text,0.035,175,175,0.5113279912620783,0.14436698984354734,0.6372020579874516,0.15456299297511578,3.5418622485390325,1.0,,,,,,,,,10,clustered
5000,768,text OR text,0.05,250,250,0.2907420275732875,0.17329805996268988,0.41993800550699234,0.18255598843097687,1.6776992635456083,1.0,,,,,,,,,10,clustered
5000,768,text OR text,0.07,350,350,0.2551740035414696,0.20985992159694433,0.3170459531247616,0.22624898701906204,1.2159253734572302,1.0,,,,,,,,,10,clustered
5000,768,text OR text,0.1,500,500,0.20005996339023113,0.3108719829469919,0.28797402046620846,0.3458979772403836,0.6435445275373824,1.0,11950.045801908042,12361.385313852237,1.0344215845497862,220.6207861165081,375.57448891450287,39.48470445038177,43.923954682510846,reader-bound,10,clustered
5000,768,text AND text,0.001,5,5,0.13227493036538363,0.07744599133729935,0.15224795788526535,0.08835992775857449,1.7079635508736486,0.1,,,,,,,,,10,clustered
5000,768,text AND text,0.002,10,10,0.12101302854716778,0.08864596020430326,0.132234999909997,0.09250605944544077,1.3651273929265113,0.1,,,,,,,,,10,clustered
5000,768,text AND text,0.004,20,20,0.12031791266053915,0.08797494228929281,0.13683701399713755,0.09075494017452002,1.3676384380553632,0.1,,,,,,,,,10,clustered
5000,768,text AND text,0.005,25,25,,,,,,,12513.613556773651,13027.678501283528,1.041080455471762,104.97005700979787,80.27488737418119,40.90382503198696,42.35362155938394,client-bound,10,clustered
5000,768,text AND text,0.007,35,35,0.13910396955907345,0.09225704707205296,0.15355402138084173,0.09513203985989094,1.5077869276526155,0.1,,,,,,,,,10,clustered
